"","Date","DailyVisits","MaxTemp","MinTemp","Precipitation","Snowfall","SnowDepth"
"215",1993-08-03,27856,60,46,0,0,0
"216",1993-08-04,23631,67,47,0,0,0
"217",1993-08-05,22188,67,53,0,0,0
"218",1993-08-06,19678,70,51,0,0,0
"219",1993-08-07,23886,78,56,0,0,0
"220",1993-08-08,28874,82,61,0,0,0
"221",1993-08-09,34290,83,62,0,0,0
"222",1993-08-10,35295,86,66,0,0,0
"223",1993-08-11,32346,85,58,0,0,0
"224",1993-08-12,23948,59,49,0.07,0,0
"225",1993-08-13,26415,76,50,0.41,0,0
"226",1993-08-14,24849,73,59,0,0,0
"227",1993-08-15,21037,77,52,0.32,0,0
"228",1993-08-16,24990,80,52,0,0,0
"229",1993-08-17,22729,78,60,0,0,0
"230",1993-08-18,21708,80,57,0,0,0
"231",1993-08-19,18760,77,53,0.61,0,0
"232",1993-08-20,18081,70,53,0.29,0,0
"233",1993-08-21,18525,78,59,0,0,0
"234",1993-08-22,17492,67,56,0,0,0
"235",1993-08-23,16588,77,57,0,0,0
"236",1993-08-24,16041,88,62,0,0,0
"237",1993-08-25,15672,75,55,0,0,0
"238",1993-08-26,13288,62,52,0.01,0,0
"239",1993-08-27,13178,71,47,0,0,0
"240",1993-08-28,15147,72,54,0,0,0
"241",1993-08-29,12009,67,48,0,0,0
"242",1993-08-30,10544,55,42,0,0,0
"243",1993-08-31,10427,72,44,0,0,0
"244",1993-09-01,8205,70,55,0,0,0
"245",1993-09-02,8289,57,45,0,0,0
"246",1993-09-03,9745,73,45,0,0,0
"247",1993-09-04,15668,66,47,0,0,0
"248",1993-09-05,10598,47,42,0.37,0,0
"249",1993-09-06,12862,58,41,0,0,0
"250",1993-09-07,8058,58,46,0,0,0
"251",1993-09-08,8307,72,46,0,0,0
"252",1993-09-09,7765,65,49,0,0,0
"253",1993-09-10,8016,72,42,0,0,0
"254",1993-09-11,10403,81,62,0,0,0
"255",1993-09-12,8950,76,38,0,0,0
"256",1993-09-13,6871,39,29,0,0,0
"257",1993-09-14,8275,55,27,0,0,0
"258",1993-09-15,7896,74,44,0,0,0
"259",1993-09-16,7325,57,43,0,0,0
"260",1993-09-17,5670,43,37,0.09,0,0
"261",1993-09-18,6328,42,38,0.13,0,0
"262",1993-09-19,8570,49,39,0.33,0,0
"263",1993-09-20,8259,68,43,0,0,0
"264",1993-09-21,6741,67,44,0,0,0
"265",1993-09-22,6206,53,40,0,0,0
"266",1993-09-23,6892,56,36,0,0,0
"267",1993-09-24,5616,60,43,0,0,0
"268",1993-09-25,5608,60,43,0,0,0
"269",1993-09-26,5427,54,35,0,0,0
"270",1993-09-27,5033,66,35,0,0,0
"271",1993-09-28,4679,57,44,0,0,0
"272",1993-09-29,5770,62,44,0,0,0
"273",1993-09-30,4232,68,46,0,0,0
"274",1993-10-01,4613,48,37,0,0,0
"275",1993-10-02,5829,58,38,0,0,0
"276",1993-10-03,6442,72,49,0,0,0
"277",1993-10-04,5389,65,53,0,0,0
"278",1993-10-05,4954,77,54,0,0,0
"279",1993-10-06,4937,76,55,0,0,0
"280",1993-10-07,3119,61,28,0,0,0
"281",1993-10-08,1713,29,21,0.4,2.5,3
"282",1993-10-09,4235,38,18,0,0,NA
"283",1993-10-10,5949,49,31,0,0,0
"284",1993-10-11,3974,59,42,0,0,0
"285",1993-10-12,3255,54,40,0,0,0
"286",1993-10-13,3116,56,41,0,0,0
"287",1993-10-14,2841,55,40,0.58,0,0
"288",1993-10-15,2992,53,42,0.02,0,0
"289",1993-10-16,2704,46,37,0.26,0,0
"290",1993-10-17,3742,52,35,0.04,0,0
"291",1993-10-18,2566,49,40,0.34,0,0
"292",1993-10-19,2871,55,38,0,0,0
"293",1993-10-20,2628,42,28,0,0,0
"294",1993-10-21,2587,59,29,0,0,0
"295",1993-10-22,2917,60,46,0,0,0
"296",1993-10-23,3685,66,49,0,0,0
"297",1993-10-24,2837,68,47,0,0,0
"298",1993-10-25,1927,55,34,0,0,0
"299",1993-10-26,1865,39,28,0,0,0
"300",1993-10-27,1746,53,29,0,0,0
"301",1993-10-28,1475,49,13,0,0,0
"302",1993-10-29,1580,20,10,0,0,0
"303",1993-10-30,2102,35,6,0,0,0
"304",1993-10-31,1653,58,33,0,0,0
"305",1993-11-01,1047,58,29,0,0,0
"306",1993-11-02,1551,40,26,0,0,0
"307",1993-11-03,1349,56,36,0,0,0
"308",1993-11-04,896,37,14,0,0,0
"309",1993-11-05,1113,19,11,0,0,0
"310",1993-11-06,1898,37,11,0,0,0
"311",1993-11-07,1717,35,27,0,0,0
"312",1993-11-08,1505,36,26,0,0,0
"313",1993-11-09,1205,41,28,0,0,0
"314",1993-11-10,1282,49,28,0,0,0
"315",1993-11-11,1682,52,31,0,0,0
"316",1993-11-12,985,36,24,0.03,2,2
"317",1993-11-13,1088,34,25,0.1,2,4
"318",1993-11-14,785,26,20,0.05,1,5
"319",1993-11-15,928,42,21,0,0,1
"320",1993-11-16,1247,46,29,0,0,1
"321",1993-11-17,971,48,28,0,0,0
"322",1993-11-18,877,45,23,0,0,0
"323",1993-11-19,999,32,19,0,0,0
"324",1993-11-20,1642,49,26,0,0,0
"325",1993-11-21,1792,49,31,0,0,0
"326",1993-11-22,434,31,3,0,0,0
"327",1993-11-23,526,7,-4,0.21,3.8,4
"328",1993-11-24,482,7,-10,0.01,0,4
"329",1993-11-25,396,5,-10,0.04,1,4
"330",1993-11-26,720,19,4,0.08,0.5,5
"331",1993-11-27,1575,42,18,0,0,4
"332",1993-11-28,962,46,30,0,0,2
"333",1993-11-29,664,46,28,0,0,1
"334",1993-11-30,744,47,37,0,0,0
"335",1993-12-01,731,38,30,0,0,1
"336",1993-12-02,626,40,29,0.05,1.5,2
"337",1993-12-03,688,40,28,0,0,1
"338",1993-12-04,1118,49,31,0,0,0
"339",1993-12-05,466,35,19,0,0,0
"340",1993-12-06,461,35,17,0,0,0
"341",1993-12-07,733,36,24,0,0,0
"342",1993-12-08,731,47,34,0,0,0
"343",1993-12-09,588,49,32,0,0,0
"344",1993-12-10,831,50,30,0,0,0
"345",1993-12-11,928,64,40,0,0,0
"346",1993-12-12,731,53,31,0,0,0
"347",1993-12-13,564,34,26,0,0,0
"348",1993-12-14,753,42,27,0,0,0
"349",1993-12-15,583,35,19,0.01,0,0
"350",1993-12-16,234,25,19,0.21,5,5
"351",1993-12-17,572,25,17,0.06,NA,5
"352",1993-12-18,834,31,16,0,0,5
"353",1993-12-19,738,27,16,0,0,5
"354",1993-12-20,764,33,16,0,0,5
"355",1993-12-21,634,26,16,0,0,4
"356",1993-12-22,572,26,10,0,0,4
"357",1993-12-23,529,25,12,0,0,4
"358",1993-12-24,378,32,20,0.11,1,5
"359",1993-12-25,866,42,27,0,0,5
"360",1993-12-26,1471,42,22,0,0,4
"361",1993-12-27,1047,22,10,0.04,1,5
"362",1993-12-28,1719,36,15,0,0,5
"363",1993-12-29,1563,33,18,0,0,5
"364",1993-12-30,1725,43,30,0,0,4
"365",1993-12-31,1136,45,31,0,0,4
"366",1994-01-01,1288,42,27,0,0,3
"367",1994-01-02,993,35,25,0,0,3
"368",1994-01-03,684,37,25,0,0,2
"369",1994-01-04,640,41,23,0,0,1
"370",1994-01-05,530,41,17,0,0,1
"371",1994-01-06,551,17,-7,0,0,1
"372",1994-01-07,619,23,-5,0,0,1
"373",1994-01-08,602,27,15,0,0,1
"374",1994-01-09,717,35,24,0,0,1
"375",1994-01-10,566,35,26,0,0,1
"376",1994-01-11,728,41,26,0,0,1
"377",1994-01-12,662,36,30,0,0,1
"378",1994-01-13,480,35,24,0.09,1,1
"379",1994-01-14,481,25,6,0.11,1,2
"380",1994-01-15,593,42,3,0,0,2
"381",1994-01-16,513,33,0,0,0,2
"382",1994-01-17,268,1,-8,0.12,1.5,4
"383",1994-01-18,480,35,-6,0,0,3
"384",1994-01-19,525,37,12,0.07,2,5
"385",1994-01-20,592,39,11,0,0,5
"386",1994-01-21,823,55,32,0,0,5
"387",1994-01-22,1473,55,32,0,0,4
"388",1994-01-23,1008,55,41,0,0,2
"389",1994-01-24,538,48,28,0,0,1
"390",1994-01-25,590,40,19,0,0,1
"391",1994-01-26,507,39,17,0,0,1
"392",1994-01-27,552,29,12,0,0,1
"393",1994-01-28,601,29,15,0,0,1
"394",1994-01-29,592,29,12,0.02,1,2
"395",1994-01-30,432,12,2,0.03,1,3
"396",1994-01-31,463,17,3,0,0,3
"397",1994-02-01,641,22,9,0,0,2
"398",1994-02-02,548,23,10,0.08,1,3
"399",1994-02-03,669,20,9,0.01,0,3
"400",1994-02-04,912,29,6,0,0,3
"401",1994-02-05,1551,37,19,0,0,2
"402",1994-02-06,993,27,-10,0.03,0,2
"403",1994-02-07,554,-7,-15,0.12,1,3
"404",1994-02-08,487,-6,-17,0.14,2,5
"405",1994-02-09,665,31,-6,0,0,4
"406",1994-02-10,579,29,21,0,0,4
"407",1994-02-11,756,27,15,0.07,0,4
"408",1994-02-12,1324,31,15,0,0,3
"409",1994-02-13,1352,43,26,0,0,2
"410",1994-02-14,834,42,26,0,0,2
"411",1994-02-15,1156,52,23,0,0,1
"412",1994-02-16,917,49,35,0,0,1
"413",1994-02-17,1027,56,37,0,0,0
"414",1994-02-18,1161,51,33,0,0,0
"415",1994-02-19,1437,34,17,0.02,0,0
"416",1994-02-20,1358,24,12,0.11,2,2
"417",1994-02-21,736,18,2,0.12,3,5
"418",1994-02-22,596,18,2,0.02,0,5
"419",1994-02-23,670,31,6,0,0,3
"420",1994-02-24,565,31,-4,0.18,3,6
"421",1994-02-25,747,5,-8,0,0,6
"422",1994-02-26,1355,33,2,0,0,4
"423",1994-02-27,1396,41,30,0,0,2
"424",1994-02-28,819,37,29,0,0,1
"425",1994-03-01,988,50,28,0,0,0
"426",1994-03-02,1271,56,42,0,0,0
"427",1994-03-03,1660,61,42,0,0,0
"428",1994-03-04,2342,60,41,0,0,0
"429",1994-03-05,2730,49,32,0.02,0,0
"430",1994-03-06,1240,37,22,0.32,6,6
"431",1994-03-07,947,23,13,0.07,1,5
"432",1994-03-08,1262,31,12,0,0,4
"433",1994-03-09,1346,39,12,0,0,3
"434",1994-03-10,1436,49,31,0,0,0
"435",1994-03-11,1642,49,31,0,0,0
"436",1994-03-12,2646,43,29,0,0,0
"437",1994-03-13,3626,58,37,0,0,0
"438",1994-03-14,1436,54,34,0,0,0
"439",1994-03-15,1691,50,30,0,0,0
"440",1994-03-16,1562,66,37,0,0,0
"441",1994-03-17,1638,59,39,0,0,0
"442",1994-03-18,2755,58,31,0,0,0
"443",1994-03-19,3964,62,32,0.01,0,0
"444",1994-03-20,2735,39,25,0,0,0
"445",1994-03-21,2124,55,30,0,0,0
"446",1994-03-22,1691,43,30,0,0,0
"447",1994-03-23,1170,30,14,0.15,2,2
"448",1994-03-24,1755,29,10,0,0,1
"449",1994-03-25,1680,34,20,0.02,0,1
"450",1994-03-26,2275,32,20,0.01,0,1
"451",1994-03-27,1706,26,13,0,0,0
"452",1994-03-28,1411,34,14,0.08,1,1
"453",1994-03-29,1374,24,16,0.08,1,2
"454",1994-03-30,2080,49,16,0,0,0
"455",1994-03-31,2447,55,35,0,0,0
"456",1994-04-01,3332,56,38,0,0,0
"457",1994-04-02,3931,47,29,0,0,0
"458",1994-04-03,5170,58,26,0,0,0
"459",1994-04-04,677,43,20,0.11,5,5
"460",1994-04-05,1842,35,19,0,0,2
"461",1994-04-06,1910,42,24,0,0,0
"462",1994-04-07,1605,55,30,0.11,0,0
"463",1994-04-08,1649,41,30,0,0,0
"464",1994-04-09,3196,50,28,0,0,0
"465",1994-04-10,2367,42,28,0,0,0
"466",1994-04-11,1767,47,27,0,0,0
"467",1994-04-12,1914,58,33,0,0,0
"468",1994-04-13,2232,54,42,0,0,0
"469",1994-04-14,1622,48,30,0,0,0
"470",1994-04-15,1923,52,26,0,0,0
"471",1994-04-16,4198,71,47,0,0,0
"472",1994-04-17,4865,76,NA,0,0,0
"473",1994-04-18,2146,67,48,0,0,0
"474",1994-04-19,2332,66,42,0,0,0
"475",1994-04-20,2392,68,48,0,0,0
"476",1994-04-21,3364,63,43,0,0,0
"477",1994-04-22,2821,76,48,0.06,0,0
"478",1994-04-23,4559,72,56,0,0,0
"479",1994-04-24,3782,67,48,0.03,0,0
"480",1994-04-25,1447,48,24,0.27,3,3
"481",1994-04-26,305,24,16,0.14,5,8
"482",1994-04-27,1746,26,16,0.09,2,7
"483",1994-04-28,1539,25,16,0.11,1,7
"484",1994-04-29,1676,29,22,0,0,6
"485",1994-04-30,3335,49,27,0,0,1
"486",1994-05-01,3450,51,33,0,0,0
"487",1994-05-02,2402,48,35,0.02,0,0
"488",1994-05-03,3040,53,39,0.37,0,0
"489",1994-05-04,3153,62,39,0,0,0
"490",1994-05-05,2629,52,37,0,0,0
"491",1994-05-06,2955,44,36,0.71,0,0
"492",1994-05-07,5413,69,34,0,0,0
"493",1994-05-08,5477,60,48,0,0,0
"494",1994-05-09,3635,67,43,0,0,0
"495",1994-05-10,4592,77,49,0,0,0
"496",1994-05-11,4125,67,53,0,0,0
"497",1994-05-12,4271,76,50,0,0,0
"498",1994-05-13,3964,65,46,1.07,0,0
"499",1994-05-14,6269,60,44,0,0,0
"500",1994-05-15,6826,69,42,0,0,0
"501",1994-05-16,5647,83,58,0,0,0
"502",1994-05-17,5542,80,59,0,0,0
"503",1994-05-18,5904,73,58,0,0,0
"504",1994-05-19,5625,78,54,0.36,0,0
"505",1994-05-20,6008,69,48,0.16,0,0
"506",1994-05-21,8218,70,44,0,0,0
"507",1994-05-22,9084,76,52,0,0,0
"508",1994-05-23,6986,74,55,0,0,0
"509",1994-05-24,7527,65,49,0.12,0,0
"510",1994-05-25,7188,61,46,0,0,0
"511",1994-05-26,7406,69,44,0,0,0
"512",1994-05-27,8777,80,50,0,0,0
"513",1994-05-28,15279,69,50,0.02,0,0
"514",1994-05-29,18852,77,52,0,0,0
"515",1994-05-30,13115,70,45,0,0,0
"516",1994-05-31,9082,66,49,0,0,0
"517",1994-06-01,9670,69,48,0.05,0,0
"518",1994-06-02,10574,53,48,0.04,0,0
"519",1994-06-03,12688,76,49,0,0,0
"520",1994-06-04,13571,77,56,0.67,0,0
"521",1994-06-05,16226,77,55,0,0,0
"522",1994-06-06,14767,73,56,0.22,0,0
"523",1994-06-07,14713,81,51,0.08,0,0
"524",1994-06-08,13482,65,47,0,0,0
"525",1994-06-09,13719,64,45,0,0,0
"526",1994-06-10,14520,67,NA,0,0,0
"527",1994-06-11,17542,73,53,0,0,0
"528",1994-06-12,19162,73,57,0,0,0
"529",1994-06-13,18366,88,55,0,0,0
"530",1994-06-14,18334,77,55,0,0,0
"531",1994-06-15,17547,66,42,0.1,0,0
"532",1994-06-16,15130,60,42,0,0,0
"533",1994-06-17,17132,70,50,0,0,0
"534",1994-06-18,16916,71,52,0,0,0
"535",1994-06-19,20331,89,65,0.04,0,0
"536",1994-06-20,21487,73,59,0,0,0
"537",1994-06-21,20519,79,58,0,0,0
"538",1994-06-22,20024,68,57,0,0,0
"539",1994-06-23,18601,74,55,0.05,0,0
"540",1994-06-24,19213,83,64,0,0,0
"541",1994-06-25,20443,76,56,0,0,0
"542",1994-06-26,21864,85,49,0,0,0
"543",1994-06-27,22373,73,54,0,0,0
"544",1994-06-28,22979,80,56,0,0,0
"545",1994-06-29,20523,85,59,0,0,0
"546",1994-06-30,18998,82,66,0,0,0
"547",1994-07-01,21450,70,53,0.12,0,0
"548",1994-07-02,28929,87,52,0,0,0
"549",1994-07-03,33792,79,57,0,0,0
"550",1994-07-04,32214,81,63,0,0,0
"551",1994-07-05,23222,75,53,0,0,0
"552",1994-07-06,22650,62,50,0.53,0,0
"553",1994-07-07,27476,54,46,0.04,0,0
"554",1994-07-08,27163,70,49,0,0,0
"555",1994-07-09,24944,83,51,0,0,0
"556",1994-07-10,24386,93,61,0.15,0,0
"557",1994-07-11,27570,78,58,0,0,0
"558",1994-07-12,24281,75,56,0,0,0
"559",1994-07-13,25704,65,54,0.01,0,0
"560",1994-07-14,22277,73,53,0.02,0,0
"561",1994-07-15,20359,75,56,0.05,0,0
"562",1994-07-16,24336,71,53,0.05,0,0
"563",1994-07-17,25154,82,55,0,0,0
"564",1994-07-18,27903,86,70,0.03,0,0
"565",1994-07-19,26760,72,58,0,0,0
"566",1994-07-20,25735,70,52,0,0,0
"567",1994-07-21,23413,80,56,0,0,0
"568",1994-07-22,22816,86,57,0,0,0
"569",1994-07-23,25843,71,57,0,0,0
"570",1994-07-24,27561,75,61,0,0,0
"571",1994-07-25,27755,78,53,0.05,0,0
"572",1994-07-26,28821,73,53,0,0,0
"573",1994-07-27,25832,80,51,0,0,0
"574",1994-07-28,23263,86,58,0,0,0
"575",1994-07-29,22557,84,57,0.19,0,0
"576",1994-07-30,24823,87,69,0,0,0
"577",1994-07-31,25851,76,61,0,0,0
"578",1994-08-01,25472,82,59,0,0,0
"579",1994-08-02,25207,82,59,0.46,0,0
"580",1994-08-03,25204,71,57,0.8,0,0
"581",1994-08-04,22750,68,55,0,0,0
"582",1994-08-05,21939,82,56,0,0,0
"583",1994-08-06,24249,89,63,0,0,0
"584",1994-08-07,30058,78,60,0.1,0,0
"585",1994-08-08,26980,70,51,0.02,0,0
"586",1994-08-09,37882,78,59,0.08,0,0
"587",1994-08-10,32690,73,57,0.03,0,0
"588",1994-08-11,30094,78,58,1.43,0,0
"589",1994-08-12,26634,77,61,0,0,0
"590",1994-08-13,25270,73,61,0,0,0
"591",1994-08-14,23694,78,59,0,0,0
"592",1994-08-15,23333,85,64,0,0,0
"593",1994-08-16,21792,85,55,0.29,0,0
"594",1994-08-17,22755,80,56,0,0,0
